160	STEM教育课程设计与应用综合性设计性实践项目	3	星期五	3	5	专业任意选修	0
161	系列专题讲座	1	星期五	8	9	专业任意选修	0
162	课程与教学基础	2	星期二	11	14	专业任意选修	0
163	课程与教学基础	2	星期一	6	8	专业任意选修	0
164	数字教育媒体设计与开发	3	星期三	3	5	专业任意选修	0
165	电子技术综合	3	星期二	11	14	专业任意选修	0
166	电子技术综合	3	星期一	1	2	专业任意选修	0
167	问题求解与程序设计	3	星期一	1	2	专业任意选修	0
168	问题求解与程序设计	3	星期二	1	2	专业任意选修	0
169	信号与系统	2	星期四	6	9	专业任意选修	0
170	信号与系统	2	星期二	8	9	专业任意选修	0
171	Java程序设计与开发	3	星期一	6	9	专业任意选修	0
172	专业英语文献精读	2	星期五	3	4	专业任意选修	0
173	专业英语文献精读	2	星期一	6	8	专业任意选修	0
174	中小学编程教育	2	星期二	6	7	专业任意选修	0
175	多媒体技术	3	星期二	3	4	专业任意选修	0
176	多媒体技术	3	星期四	6	7	专业任意选修	0
177	机器人技术基础	1	星期三	1	4	专业任意选修	0
178	算法分析与设计	2.5	星期四	3	4	专业任意选修	0
179	算法分析与设计	2.5	星期一	7	8	专业任意选修	0
180	数据科学导引	3	星期三	11	14	专业任意选修	0
181	R语言教育应用	2	星期一	6	7	专业任意选修	0
182	R语言教育应用	2	星期二	3	4	专业任意选修	0
183	移动教育应用开发	3	星期一	8	10	专业任意选修	0
184	现代软件工程	3	星期一	1	2	专业任意选修	0
185	现代软件工程	3	星期二	1	2	专业任意选修	0
186	教育研究方法	3	星期一	11	13	专业任意选修	0
187	管理信息系统	2	星期一	6	7	专业任意选修	0
188	管理信息系统	2	星期五	1	2	专业任意选修	0
189	教育大数据与学习分析	2	星期三	8	9	专业任意选修	0
190	教育技术项目管理	2	星期一	8	10	专业任意选修	0
191	教育技术项目管理	2	星期三	1	2	专业任意选修	0
192	创客教育与3D打印教育应用的研究	2	星期四	6	8	专业任意选修	0
193	虚拟现实技术与教育应用	2	星期四	6	7	专业任意选修	0
194	Web教育应用开发	3	星期四	2	4	专业任意选修	0
195	教育游戏软件设计与开发	3	星期四	8	10	专业任意选修	0
196	知识分析与应用基础	2	星期五	6	8	专业任意选修	0
197	知识分析与应用基础	2	星期二	6	7	专业任意选修	0
198	信息检索与搜索引擎	2	星期二	6	7	专业任意选修	0
199	信息检索与搜索引擎	2	星期三	1	2	专业任意选修	0
